model-1644207649, 0, 1644207650.785, 0.45, 0.2508, 0.5, 0.2549
model-1644207649, 0, 1644207650.852, 0.47, 0.26, 0.55, 0.2497
model-1644207649, 0, 1644207650.919, 0.52, 0.2499, 0.46, 0.2505
model-1644207649, 0, 1644207650.987, 0.53, 0.2493, 0.48, 0.2506
model-1644207649, 0, 1644207651.055, 0.55, 0.2476, 0.46, 0.2557
model-1644207649, 0, 1644207651.124, 0.47, 0.2521, 0.42, 0.2557
model-1644207649, 0, 1644207651.192, 0.55, 0.2471, 0.57, 0.246
model-1644207649, 0, 1644207651.262, 0.49, 0.2492, 0.58, 0.2455
model-1644207649, 0, 1644207651.329, 0.51, 0.2501, 0.47, 0.2504
model-1644207649, 0, 1644207651.398, 0.51, 0.2494, 0.63, 0.2491
model-1644207649, 0, 1644207651.466, 0.54, 0.2495, 0.47, 0.2503
model-1644207649, 0, 1644207651.536, 0.52, 0.2495, 0.53, 0.2494
model-1644207649, 0, 1644207651.604, 0.47, 0.2495, 0.61, 0.2427
model-1644207649, 0, 1644207651.671, 0.45, 0.2522, 0.49, 0.2518
model-1644207649, 0, 1644207651.739, 0.43, 0.2541, 0.53, 0.2488
model-1644207649, 0, 1644207651.806, 0.57, 0.2485, 0.59, 0.2492
model-1644207649, 0, 1644207651.874, 0.57, 0.2495, 0.6, 0.2486
model-1644207649, 0, 1644207651.942, 0.59, 0.2488, 0.52, 0.2491
model-1644207649, 0, 1644207652.009, 0.46, 0.2504, 0.56, 0.2488
model-1644207649, 0, 1644207652.077, 0.55, 0.2487, 0.54, 0.2491
model-1644207649, 0, 1644207652.144, 0.55, 0.2485, 0.54, 0.2481
model-1644207649, 0, 1644207652.212, 0.5, 0.2493, 0.64, 0.2467
model-1644207649, 0, 1644207652.279, 0.59, 0.2478, 0.54, 0.2477
model-1644207649, 0, 1644207652.348, 0.63, 0.2469, 0.63, 0.2466
model-1644207649, 0, 1644207652.415, 0.7, 0.2442, 0.5, 0.2488
model-1644207649, 0, 1644207652.482, 0.49, 0.2486, 0.64, 0.2455
model-1644207649, 0, 1644207652.55, 0.57, 0.2468, 0.56, 0.2462
model-1644207649, 0, 1644207652.618, 0.53, 0.2462, 0.45, 0.2589
model-1644207649, 0, 1644207652.686, 0.45, 0.2602, 0.6, 0.2437
model-1644207649, 0, 1644207652.758, 0.55, 0.247, 0.56, 0.2419
model-1644207649, 0, 1644207652.829, 0.5, 0.2513, 0.6, 0.2436
model-1644207649, 0, 1644207652.899, 0.63, 0.239, 0.58, 0.2454
model-1644207649, 0, 1644207652.966, 0.57, 0.2444, 0.55, 0.245
model-1644207649, 0, 1644207653.034, 0.56, 0.246, 0.55, 0.2399
model-1644207649, 0, 1644207653.101, 0.61, 0.2402, 0.56, 0.2402
model-1644207649, 0, 1644207653.168, 0.61, 0.2408, 0.55, 0.247
model-1644207649, 0, 1644207653.235, 0.64, 0.2413, 0.58, 0.2378
model-1644207649, 0, 1644207653.302, 0.62, 0.2398, 0.6, 0.2421
model-1644207649, 0, 1644207653.369, 0.59, 0.2401, 0.63, 0.233
model-1644207649, 0, 1644207653.437, 0.56, 0.2409, 0.61, 0.224
model-1644207649, 0, 1644207653.504, 0.57, 0.2387, 0.43, 0.2766
model-1644207649, 0, 1644207653.572, 0.52, 0.2507, 0.59, 0.2383
model-1644207649, 0, 1644207653.639, 0.65, 0.228, 0.57, 0.2373
model-1644207649, 0, 1644207653.706, 0.55, 0.2459, 0.47, 0.2685
